trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
58,0,58,0,10,372.74501990000135,372.74501990000135,372.74501990000135,[-0.30092592592592593],[-0.42962962962962964],[1],[0],[0],[2.0345310999982757],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
59,0,59,0,5,374.7852203999937,374.7852203999937,374.7852203999937,[0.31203703703703706],[0.26851851851851855],[1],[0],[0],[1.7371566999936476],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
60,0,60,0,5,376.58023819999653,376.58023819999653,376.58023819999653,[-0.03981481481481482],[0.24074074074074073],[1],[0],[0],[1.6486872999957995],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
61,0,61,0,5,378.30889529999695,378.30889529999695,378.30889529999695,[-0.09722222222222222],[0.0712962962962963],[1],[0],[0],[2.057124000013573],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
62,0,62,0,5,380.4089452999906,380.4089452999906,380.4089452999906,[0.34814814814814815],[-0.22685185185185186],[1],[0],[0],[1.5660724000044866],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
63,0,63,0,5,382.0577045999962,382.0577045999962,382.0577045999962,[-0.075],[0.34444444444444444],[1],[0],[0],[1.9688965999957873],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
64,0,64,0,10,384.1379302999994,384.1379302999994,384.1379302999994,[-0.17777777777777778],[-0.4388888888888889],[1],[0],[0],[2.235570699995151],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
65,0,65,0,10,386.4219860000012,386.4219860000012,386.4219860000012,[-0.262037037037037],[0.13425925925925927],[1],[0],[0],[1.3364915999991354],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
66,0,66,0,10,387.8247657000029,387.8247657000029,387.8247657000029,[-0.29907407407407405],[-0.12037037037037036],[1],[0],[0],[1.2705806000012672],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
67,0,67,0,10,389.14583649999986,389.14583649999986,389.14583649999986,[0.10925925925925926],[0.27685185185185185],[1],[0],[0],[1.593393399991328],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
68,0,68,0,5,390.7885491999914,390.7885491999914,390.7885491999914,[-0.02962962962962963],[0.49074074074074076],[1],[0],[0],[2.323240400000941],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
69,0,69,0,10,393.18276779999724,393.18276779999724,393.18276779999724,[-0.487962962962963],[0.03333333333333333],[1],[0],[0],[1.39488620001066],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
70,0,70,0,10,394.6384787999996,394.6384787999996,394.6384787999996,[0.016666666666666666],[0.10555555555555556],[1],[0],[0],[1.6571698999905493],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
71,0,71,0,10,396.35999929999525,396.35999929999525,396.35999929999525,[-0.2074074074074074],[0.004629629629629629],[1],[0],[0],[1.3513412999891443],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
72,0,72,0,5,397.79794779999065,397.79794779999065,397.79794779999065,[-0.1712962962962963],[0.18611111111111112],[1],[0],[0],[1.3919958000042243],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
73,0,73,0,10,399.2691430999985,399.2691430999985,399.2691430999985,[-0.08796296296296297],[-0.014814814814814815],[1],[0],[0],[1.2261693000036757],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
74,0,74,0,10,400.5721973999898,400.5721973999898,400.5721973999898,[-0.1685185185185185],[-0.06759259259259259],[1],[0],[0],[1.7228583999967668],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
75,0,75,0,5,402.31139209998946,402.31139209998946,402.31139209998946,[0.45555555555555555],[-0.21203703703703702],[1],[0],[0],[1.5590926000004401],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
76,0,76,0,10,403.96080839999195,403.96080839999195,403.96080839999195,[0.08148148148148149],[0.0712962962962963],[1],[0],[0],[1.2951625999994576],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
77,0,77,0,10,405.33326519999537,405.33326519999537,405.33326519999537,[-0.19537037037037036],[-0.001851851851851852],[1],[0],[0],[1.2266969000047538],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
78,0,78,0,10,406.64880129999074,406.64880129999074,406.64880129999074,[-0.1],[-0.1925925925925926],[1],[0],[0],[2.5616693000047235],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
79,0,79,0,5,409.25118379999185,409.25118379999185,409.25118379999185,[0.05185185185185185],[0.037037037037037035],[1],[0],[0],[2.4239589999924647],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
80,0,80,0,5,411.7548323999945,411.7548323999945,411.7548323999945,[-0.09259259259259259],[-0.3296296296296296],[1],[0],[0],[2.0656373999954667],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
81,0,81,0,10,413.93081099999836,413.93081099999836,413.93081099999836,[0.3101851851851852],[0.30462962962962964],[1],[0],[0],[2.0510253999964334],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
82,0,82,0,10,416.0632403999916,416.0632403999916,416.0632403999916,[0.35833333333333334],[0.04722222222222222],[1],[0],[0],[1.6389640999987023],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
83,0,83,0,10,417.81856329999573,417.81856329999573,417.81856329999573,[0.31851851851851853],[0.09814814814814815],[1],[0],[0],[1.4275744000042323],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
84,0,84,0,10,419.3029408000002,419.3029408000002,419.3029408000002,[0.37592592592592594],[0.007407407407407408],[1],[0],[0],[2.3758813999884296],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
85,0,85,0,5,421.7124523999955,421.7124523999955,421.7124523999955,[0.2175925925925926],[-0.18518518518518517],[1],[0],[0],[2.4130981999915093],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
86,0,86,0,5,424.1847815999936,424.1847815999936,424.1847815999936,[0.03333333333333333],[-0.1527777777777778],[1],[0],[0],[2.754774799992447],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
87,0,87,0,10,427.0802623999916,427.0802623999916,427.0802623999916,[0.1259259259259259],[-0.4185185185185185],[1],[0],[0],[2.5528410999977496],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
88,0,88,0,5,429.6589365999971,429.6589365999971,429.6589365999971,[0.4398148148148148],[0.33425925925925926],[1],[0],[0],[1.6217686000018148],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
89,0,89,0,10,431.35880319999706,431.35880319999706,431.35880319999706,[0.1712962962962963],[0.18425925925925926],[1],[0],[0],[1.6299478000000818],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
90,0,90,0,10,433.08736799999315,433.08736799999315,433.08736799999315,[0.1361111111111111],[0.18796296296296297],[1],[0],[0],[1.0895443999907002],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
91,0,91,0,5,434.2023762999888,434.2023762999888,434.2023762999888,[-0.15555555555555556],[-0.1537037037037037],[1],[0],[0],[1.3254507000092417],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
92,0,92,0,5,435.58617629999935,435.58617629999935,435.58617629999935,[0.028703703703703703],[-0.27685185185185185],[1],[0],[0],[1.419604700000491],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
93,0,93,0,5,437.0717159999913,437.0717159999913,437.0717159999913,[-0.18425925925925926],[-0.19537037037037036],[1],[0],[0],[1.2790558999986388],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
94,0,94,0,5,438.4058021999954,438.4058021999954,438.4058021999954,[-0.003703703703703704],[0.30277777777777776],[1],[0],[0],[1.5182446999970125],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
95,0,95,0,5,439.99456539998937,439.99456539998937,439.99456539998937,[0.09537037037037037],[0.43148148148148147],[1],[0],[0],[1.314219599997159],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
96,0,96,0,5,441.3791322999896,441.3791322999896,441.3791322999896,[-0.07037037037037037],[-0.24537037037037038],[1],[0],[0],[1.529018899993389],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
97,0,97,0,10,443.05004679999547,443.05004679999547,443.05004679999547,[-0.19074074074074074],[0.43333333333333335],[1],[0],[0],[1.8599020999972709],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
98,0,98,0,5,444.9310503000015,444.9310503000015,444.9310503000015,[-0.06018518518518518],[0.2388888888888889],[1],[0],[0],[1.4336618999950588],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
99,0,99,0,5,446.41959269999643,446.41959269999643,446.41959269999643,[-0.24814814814814815],[0.03796296296296296],[1],[0],[0],[1.7338788000051863],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
100,0,100,0,5,448.2286332999938,448.2286332999938,448.2286332999938,[-0.0787037037037037],[-0.43425925925925923],[1],[0],[0],[2.019700199991348],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
101,0,101,0,10,450.31166629999643,450.31166629999643,450.31166629999643,[-0.33796296296296297],[-0.046296296296296294],[1],[0],[0],[3.447690600005444],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
102,0,102,0,10,453.8541739999928,453.8541739999928,453.8541739999928,[0.36574074074074076],[0.26666666666666666],[1],[0],[0],[2.897086400000262],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
103,0,103,0,10,456.8083503999951,456.8083503999951,456.8083503999951,[-0.4666666666666667],[0.24537037037037038],[1],[0],[0],[1.9193929999892134],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
104,0,104,0,10,458.83696919999784,458.83696919999784,458.83696919999784,[-0.001851851851851852],[0.2564814814814815],[1],[0],[0],[1.643651599995792],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
105,0,105,0,10,460.56067359998997,460.56067359998997,460.56067359998997,[0.32222222222222224],[-0.06296296296296296],[1],[0],[0],[2.126203699997859],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
106,0,106,0,10,462.78379809999024,462.78379809999024,462.78379809999024,[-0.05277777777777778],[-0.25555555555555554],[1],[0],[0],[1.9163251999998465],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
107,0,107,0,5,464.72805119999975,464.72805119999975,464.72805119999975,[-0.37962962962962965],[-0.3638888888888889],[1],[0],[0],[1.6503526000014972],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
108,0,108,0,10,466.48474369999894,466.48474369999894,466.48474369999894,[-0.03425925925925926],[0.4212962962962963],[1],[0],[0],[1.9487790999992285],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
109,0,109,0,10,468.5793318999931,468.5793318999931,468.5793318999931,[0.02962962962962963],[0.3888888888888889],[1],[0],[0],[1.003286899998784],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
110,0,110,0,5,469.5810196999955,469.5810196999955,469.5810196999955,[-0.25462962962962965],[0.06018518518518518],[1],[0],[0],[1.4500740999937989],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
111,0,111,0,10,471.13557169999694,471.13557169999694,471.13557169999694,[0.012962962962962963],[0.04259259259259259],[1],[0],[0],[1.2009257000026992],['target'],3r,001,2023-09-28_18h09.35.279,visualsearch,2023.1.3,60.000600001837526,
